4,Penyelenggaraan Data,18/04/2021 0:00,30/05/2021 0:00,1
4,Pendaftaran PT3 secara dalam talian(calon sekolah dan calon sekolah swasta / persendirian),02/05/2021 0:00,31/05/2021 0:00,1
4,Pendaftaran PT3 secara dalam talian (calon sekolah dan calon sekolah swasta / persendirian dengan bayaran) Calon daftar lewat ,01/06/2021 0:00,30/11/2021 0:00,1
4,Pembetulan Maklumat Calon dan Pembetulan Mata Pelajaran (tanpa bayaran) ,01/06/2021 0:00,31/10/2021 0:00,1
4,Muat turun Instrumen Pentaksiran dan Panduan Penskoran (Ujian Bertutur BM dan BI),16/08/2021 0:00,19/08/2021 0:00,1
4,Muat Turun Instrumen Pentaksiran dan Panduan Penskoran (Ujian Komunikasi  Berisyarat/Bertutur BM dan BI),16/08/2021 0:00,19/08/2021 0:00,1
4,Muat Turun Instructions to Speaking Examiners PT3 BI CEFR ,16/08/2021 0:00,19/08/2021 0:00,1
4,Muat Turun Instructions to Writing Examiners PT3 BI CEFR ,16/08/2021 0:00,19/08/2021 0:00,1
4,Muat turun instrumen pentaksiran dan panduan penskoran  Ujian Hafazan,23/08/2021 0:00,26/08/2021 0:00,1
4,Muat Turun Instrumen pentaksiran Ujian Mendengar ,04/10/2021 0:00,07/10/2021 0:00,1
4,Muat turun Instrumen pentaksiran Ujian Komunikasi Melihat /Mendengar   ,04/10/2021 0:00,07/10/2021 0:00,1
4,Mencetak dan memperbanyakkan instrumen pentaksiran mengikut arahan dan jadual percetakan. ,10/10/2021 0:00,15/10/2021 0:00,1
4,"Merekod Skor Calon (Ujian Bertutur & Ujian Komunikasi Berisyarat/Bertutur Bagi BM dan BI)",25/10/2021 0:00,29/10/2021 0:00,1
4,Mencetak Borang Skor Kelompok mengikut kelas dan mata pelajaran untuk semakan teknikal antara PMP dan KPMP (Ujian Bertutur & Ujian Komunikasi Berisyarat/Bertutur Bagi BM dan BI),25/10/2021 0:00,29/10/2021 0:00,1
4,"Pengesahan Borang Skor Kelompok (Ujian Bertutur & Ujian Komunikasi Berisyarat/Bertutur Bagi BM dan BI)",25/10/2021 0:00,29/10/2021 0:00,1
4,"Pemantauan pengurusan kemasukan skor (Ujian Bertutur & Ujian Komunikasi Berisyarat/Bertutur Bagi BM dan BI)",25/10/2021 0:00,29/10/2021 0:00,1
4,Pembetulan Maklumat Calon dan Pembetulan Mata Pelajaran (dengan bayaran) ,01/11/2021 0:00,30/11/2021 0:00,1
4,"Muat turun panduan penskoran Ujian Mendengar BM,BI dan LAM ",10/11/2021 0:00,11/11/2021 0:00,1
4,Muat turun panduan penskoran Ujian Komunikasi  Melihat/Mendengar BM dan BI,10/11/2021 0:00,11/11/2021 0:00,1
4,Penskoran dan moderasi pertama skrip jawapan calon (SJC) (Ujian Mendengar LAM serta Ujian Mendengar dan Ujian Komunikasi Melihat/ Mendengar BM dan BI),21/11/2021 0:00,03/12/2021 0:00,1
4,Merekod skor dan band prestasi hafazan calon ,06/12/2021 0:00,17/12/2021 0:00,1
4,Mencetak Borang Skor Kelompok mengikut kelas dan mata pelajaran untuk semakan teknikal antara PMP dan KPMP (Ujian Hafazan),06/12/2021 0:00,17/12/2021 0:00,1
4,Pengesahan Borang Skor Kelompok (Ujian Hafazan),06/12/2021 0:00,17/12/2021 0:00,1
4,Verifikasi skor,06/12/2021 0:00,17/12/2021 0:00,1
4,Pemantauan verifikasi skor di sekolah. ,06/12/2021 0:00,17/12/2021 0:00,1
4,Penghantaran Skor Calon Kepada Pihak LP,06/12/2021 0:00,17/12/2021 0:00,1
4,"Merekod Skor Calon (Ujian Bertutur & Ujian Komunikasi Berisyarat/Bertutur Bagi BM dan BI)",13/12/2021 0:00,17/12/2021 0:00,1
4,Cetakan Pernyataan Keputusan dan Pernyataan Prestasi Hafazan Pentaksiran Tingkatan 3 (PT3) ,03/01/2022 0:00,05/01/2022 0:00,1
4,Penyerahan Pernyataan Keputusan dan Pernyataan Prestasi Hafazan Pentaksiran Tingkatan 3 (PT3) ,06/01/2022 0:00,06/01/2022 0:00,1
4,Penerimaan permohonan penyemakan semula keputusan PT3,06/01/2022 0:00,07/02/2022 0:00,1
4,Pemeriksaan semula Skrip Jawapan Calon ,08/02/2022 0:00,18/02/2022 0:00,1
4,Kemasukan skor baharu penyemakan semula ,08/02/2022 0:00,18/02/2022 0:00,1
4,Proses Pengggredan,21/02/2022 0:00,25/02/2022 0:00,1
4,Makluman keputusan penyemakan semula keputusan PT3 ,01/03/2022 0:00,04/03/2022 0:00,1
4,Percetakan dan penyerahan Pernyataan Keputusan PT3 baharu ,01/03/2022 0:00,04/03/2022 0:00,1
